"No.","Time","Source","Destination","Protocol","Length","Info"
"167","83.157830","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"168","84.158439","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x822d, seq=1423/36613, ttl=64 (no response found!)"
"169","84.165511","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"170","85.167534","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x832d, seq=1424/36869, ttl=64 (no response found!)"
"171","85.170027","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"172","86.171931","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x842d, seq=1425/37125, ttl=64 (no response found!)"
"173","86.174473","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"174","86.493445","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"175","87.176232","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x852d, seq=1426/37381, ttl=64 (no response found!)"
"176","87.177712","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"177","88.179048","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x862d, seq=1427/37637, ttl=64 (no response found!)"
"178","88.188847","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"179","89.190040","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x872d, seq=1428/37893, ttl=64 (no response found!)"
"180","89.190958","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"181","89.913416","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"182","90.191650","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x882d, seq=1429/38149, ttl=64 (no response found!)"
"183","90.202478","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"184","90.624908","ca:01:38:f4:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","350","Device ID: R1  Port ID: FastEthernet0/0  "
"185","91.204102","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x892d, seq=1430/38405, ttl=64 (no response found!)"
"186","91.214495","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"187","92.215529","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x8a2d, seq=1431/38661, ttl=64 (reply in 188)"
"188","92.261777","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x8a2d, seq=1431/38661, ttl=60 (request in 187)"
"189","93.263820","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x8b2d, seq=1432/38917, ttl=64 (no response found!)"
"190","95.264653","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x8d2d, seq=1433/39173, ttl=64 (no response found!)"
"191","96.504899","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
